WCAG-Kriterium	Name	Beschreibung	Fehleranzahl_axe	Fehleranzahl_WAVE
9.1.1.1	Nicht-Text-Inhalt	Alternative Texte für Bilder und andere Nicht-Text-Inhalte vorhanden?	1	1
9.1.3.1	Info und Beziehungen	Sind semantische HTML-Strukturen vorhanden?	1	0
9.1.4.3	Mindestkontrast	Sind die Farbkontraste ausreichend?	3	2
9.2.4.1	Blockumgehung	Gibt es eine Möglichkeit, Navigation zu überspringen?	3	3
9.2.4.4	Linkzweck (im Kontext)	Ist der Zweck von Links verständlich?	1	0
9.2.4.7	Fokus sichtbar	Ist der Tastaturfokus immer erkennbar?	2	0
9.4.1.2	Name, Rolle, Wert	Haben UI-Elemente korrekte ARIA-Attribute?	6	0
