WCAG-Kriterium	Name	Beschreibung	Fehleranzahl_axe	Fehleranzahl_WAVE
9.1.1.1	Nicht-Text-Inhalt	Alternative Texte für Bilder und andere Nicht-Text-Inhalte vorhanden?	179	138
9.1.3.1	Info und Beziehungen	Sind semantische HTML-Strukturen vorhanden?	0	1
9.1.4.3	Mindestkontrast	Sind die Farbkontraste ausreichend?	51	40
9.2.4.4	Linkzweck (im Kontext)	Ist der Zweck von Links verständlich?	72	109
9.2.4.6	Überschriften und Beschriftungen	Sind Überschriften und Labels sinnvoll genutzt?	0	1
9.2.4.7	Fokus sichtbar	Ist der Tastaturfokus immer erkennbar?	222	0
9.3.3.2	Labels oder Anleitungen	Gibt es klare Beschriftungen und Anleitungen?	0	1
9.4.1.2	Name, Rolle, Wert	Haben UI-Elemente korrekte ARIA-Attribute?	145	0
